id,pub_id,assigned,assigned_to,asssigned_timestamp
1,2008-02-WATERBIRDS,1,jameshowison,2017-06-12 16:21:26
2,2008-02-WATERBIRDS,1,ly4287,2017-06-13 11:45:03
3,2008-02-WATERBIRDS,1,jlcohoon,2017-06-13 11:45:03
4,2008-02-WATERBIRDS,1,SKKK9705,2017-06-13 11:45:05
5,2008-02-WATERBIRDS,1,shruthikrish,2017-06-13 11:45:06
6,2008-02-WATERBIRDS,1,LuculentDig,2017-06-13 11:45:07
7,2008-02-WATERBIRDS,1,mrcyndns,2017-06-13 11:45:19
8,2008-02-WATERBIRDS,1,tiashaj,2017-06-13 11:45:26
9,2008-02-WATERBIRDS,1,mjsong1201,2017-06-13 11:45:32
10,2008-02-WATERBIRDS,1,jcsick,2017-06-13 11:45:42
11,2008-02-WATERBIRDS,1,brentbiglin,2017-06-13 11:46:10
12,2000-04-MOL_ECOL,1,jameshowison,2017-06-12 16:23:29
13,2000-04-MOL_ECOL,1,SKKK9705,2017-06-13 11:46:18
14,2000-04-MOL_ECOL,1,raghu-achukola,2017-06-13 11:47:40
15,2000-04-MOL_ECOL,1,shruthikrish,2017-06-13 14:37:43
16,2000-04-MOL_ECOL,1,mjsong1201,2017-06-13 14:51:04
17,2000-04-MOL_ECOL,1,mrcyndns,2017-06-20 10:05:44
18,2000-04-MOL_ECOL,1,jcsick,2017-06-20 10:06:47
19,2000-04-MOL_ECOL,1,brentbiglin,2017-06-20 10:37:11
20,2000-04-MOL_ECOL,1,skshenoy,2017-06-20 11:36:47
21,2000-04-MOL_ECOL,1,LuculentDig,2017-06-27 10:02:17
22,2000-04-MOL_ECOL,1,tiashaj,2017-06-27 13:46:40
23,2007-48-UNDERSEA_HYPERBAR_M,1,jameshowison,2017-06-12 16:24:02
24,2007-48-UNDERSEA_HYPERBAR_M,1,raghu-achukola,2017-06-13 14:51:44
25,2007-48-UNDERSEA_HYPERBAR_M,1,mjsong1201,2017-06-19 18:52:35
26,2007-48-UNDERSEA_HYPERBAR_M,1,shruthikrish,2017-06-20 10:03:28
27,2007-48-UNDERSEA_HYPERBAR_M,1,jcsick,2017-06-20 10:54:37
28,2007-48-UNDERSEA_HYPERBAR_M,1,brentbiglin,2017-06-20 10:56:05
29,2007-48-UNDERSEA_HYPERBAR_M,1,mrcyndns,2017-06-20 10:56:29
30,2007-48-UNDERSEA_HYPERBAR_M,1,SKKK9705,2017-06-20 11:56:26
